,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,math4_score,math8_score,reading4_score,reading8_score,clusters,cluster
561,5196054.0,5298932.0,-102878,1852.0,731220.0,42005.0,223.0,262.0,207.0,253.0,0,pink
562,1425948.0,1610289.0,-184341,1883.0,133933.0,8651.0,233.0,279.0,212.0,256.0,0,pink
563,6529894.0,6210287.0,319607,9376.0,1012068.0,68815.0,229.0,271.0,209.0,255.0,0,pink
564,3241275.0,3242799.0,-1524,2573.0,454523.0,28840.0,229.0,266.0,214.0,258.0,0,pink
565,59815855.0,59749885.0,65970,114939.0,6413867.0,395194.0,227.0,267.0,206.0,251.0,1,purple
566,6297242.0,6685029.0,-387787,19993.0,757693.0,48924.0,235.0,283.0,224.0,268.0,0,pink
567,6959891.0,6751815.0,208076,11823.0,577203.0,37229.0,241.0,284.0,228.0,267.0,0,pink
568,1242436.0,1317447.0,-75011,642.0,117668.0,7292.0,236.0,277.0,224.0,265.0,0,pink
570,19549835.0,20180142.0,-630307,49588.0,2587628.0,144764.0,234.0,271.0,218.0,257.0,2,dark purple
571,13524807.0,13516783.0,8024,36486.0,1522611.0,81381.0,230.0,270.0,214.0,258.0,0,pink
572,2078877.0,1602392.0,476485,1175.0,183609.0,10627.0,227.0,266.0,208.0,251.0,0,pink
573,1685984.0,1726941.0,-40957,2672.0,252120.0,17462.0,235.0,280.0,218.0,264.0,0,pink
574,19627346.0,21278177.0,-1650831,67148.0,2100961.0,136974.0,233.0,277.0,216.0,266.0,2,dark purple
575,8246076.0,9777720.0,-1531644,5561.0,1011130.0,63632.0,238.0,281.0,220.0,265.0,0,pink
576,4374803.0,4517990.0,-143187,6907.0,481226.0,36834.0,238.0,284.0,223.0,268.0,0,pink
577,4068800.0,3818740.0,250060,2446.0,470490.0,33819.0,242.0,284.0,220.0,266.0,0,pink
578,4872025.0,4700494.0,171531,32034.0,663369.0,38834.0,229.0,274.0,219.0,266.0,0,pink
579,5478321.0,5515322.0,-37001,23187.0,727709.0,41270.0,226.0,266.0,205.0,253.0,0,pink
580,2162605.0,2154117.0,8488,1797.0,202084.0,14538.0,238.0,282.0,224.0,268.0,0,pink
581,8700979.0,8732518.0,-31539,21391.0,869113.0,55897.0,233.0,278.0,219.0,262.0,0,pink
582,11591832.0,11382398.0,209434,22533.0,980459.0,62389.0,242.0,287.0,228.0,273.0,0,pink
583,18488359.0,19680370.0,-1192011,21724.0,1757604.0,108688.0,236.0,276.0,219.0,264.0,2,dark purple
584,8484497.0,8938770.0,-454273,10876.0,842854.0,72608.0,242.0,291.0,223.0,268.0,0,pink
585,3260771.0,3205193.0,55578,2208.0,493540.0,25918.0,223.0,261.0,205.0,255.0,0,pink
586,7622601.0,7905481.0,-282880,11215.0,905941.0,61626.0,235.0,279.0,222.0,267.0,0,pink
587,1205602.0,1214879.0,-9277,664.0,148356.0,11258.0,236.0,286.0,223.0,270.0,0,pink
588,2600831.0,2623966.0,-23135,5920.0,285542.0,21872.0,236.0,282.0,221.0,266.0,0,pink
589,2778564.0,3009028.0,-230464,2778.0,385401.0,18700.0,228.0,268.0,207.0,252.0,0,pink
590,2028602.0,2122604.0,-94002,2221.0,207417.0,14445.0,243.0,286.0,228.0,271.0,0,pink
591,19785039.0,19812932.0,-27893,22746.0,1380753.0,84539.0,239.0,281.0,225.0,268.0,2,dark purple
592,2626262.0,2658140.0,-31878,3976.0,323066.0,19505.0,223.0,263.0,203.0,252.0,0,pink
593,38033080.0,41603390.0,-3570310,41456.0,2864775.0,163362.0,236.0,280.0,222.0,265.0,2,dark purple
594,9907235.0,9989670.0,-82435,11686.0,1360209.0,75918.0,242.0,281.0,221.0,262.0,0,pink
595,882913.0,895278.0,-12365,752.0,102233.0,8313.0,238.0,287.0,222.0,270.0,0,pink
596,18018740.0,18760200.0,-741460,26151.0,1845428.0,127993.0,238.0,282.0,222.0,267.0,2,dark purple
