,Primary_Key,State,Year,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region,,,
1275,1986_ALABAMA,Alabama,1986,,,,,,,,,,0,,53672,56939,57261,45396,733735,,,,,South,,,
1282,1986_ALASKA,Alaska,1986,,,,,,,,,,0,,10334,8706,7313,6753,107848,,,,,West,,,
1289,1986_ARIZONA,Arizona,1986,,,,,,,,,,0,,43759,40187,38060,35777,534538,,,,,West,,,
1296,1986_ARKANSAS,Arkansas,1986,,,,,,,,,,0,,34070,32799,34053,28729,437438,,,,,South,,,
1303,1986_CALIFORNIA,California,1986,,,,,,,,,,0,,380608,325902,304787,251281,4377989,,,,,West,,,
1310,1986_COLORADO,Colorado,1986,,,,,,,,,,0,2227,45843,41114,40066,37327,558415,,,,,West,,,
1317,1986_CONNECTICUT,Connecticut,1986,,,,,,,,,,0,3620,37432,31912,32229,34742,468847,,,,,Northeast,,,
1324,1986_DELAWARE,Delaware,1986,,,,,,,,,,0,286,7696,6620,6880,6621,94410,,,,,South,,,
1338,1986_FLORIDA,Florida,1986,,,,,,,,,,0,4287,134732,117394,126414,89663,1607320,,,,,South,,,
1345,1986_GEORGIA,Georgia,1986,,,,,,,,,,0,,88748,81587,83280,64282,1096425,,,,,South,,,
1352,1986_HAWAII,Hawaii,1986,,,,,,,,,,0,304,13642,12146,10618,10281,164640,,,,,West,,,
1359,1986_IDAHO,Idaho,1986,,,,,,,,,,0,,16646,16672,14956,13164,208391,,,,,West,,,
1366,1986_ILLINOIS,Illinois,1986,,,,,,,,,,0,25111,134370,128759,123175,119627,1825185,,,,,Midwest,,,
1373,1986_INDIANA,Indiana,1986,,,,,,,,,,0,662,70624,68759,71842,66764,966780,,,,,Midwest,,,
1380,1986_IOWA,Iowa,1986,,,,,,,,,,0,981,40195,33904,32088,36222,481286,,,,,Midwest,,,
1387,1986_KANSAS,Kansas,1986,,,,,,,,,,0,495,36358,30998,29040,28218,416091,,,,,Midwest,,,
1394,1986_KENTUCKY,Kentucky,1986,,,,,,,,,,0,,49578,48508,47108,38991,642778,,,,,South,,,
1401,1986_LOUISIANA,Louisiana,1986,,,,,,,,,,0,1287,68146,62325,56538,42746,795188,,,,,South,,,
1408,1986_MAINE,Maine,1986,,,,,,,,,,0,889,17040,14695,15789,15182,211752,,,,,Northeast,,,
1415,1986_MARYLAND,Maryland,1986,,,,,,,,,,0,9361,50505,48378,47315,47584,675747,,,,,South,,,
1422,1986_MASSACHUSETTS,Massachusetts,1986,,,,,,,,,,0,3702,66595,57235,61328,63817,833918,,,,,Northeast,,,
1429,1986_MICHIGAN,Michigan,1986,,,,,,,,,,0,8448,135089,107851,113235,105620,1597154,,,,,Midwest,,,
1436,1986_MINNESOTA,Minnesota,1986,,,,,,,,,,0,6008,60893,50287,49703,57818,711134,,,,,Midwest,,,
1443,1986_MISSISSIPPI,Mississippi,1986,,,,,,,,,,0,110,33418,40102,37060,28405,498639,,,,,South,,,
1450,1986_MISSOURI,Missouri,1986,,,,,,,,,,0,,62575,58984,58861,54738,800606,,,,,Midwest,,,
1457,1986_MONTANA,Montana,1986,,,,,,,,,,0,138,12923,11684,10677,10681,153327,,,,,West,,,
1464,1986_NEBRASKA,Nebraska,1986,,,,,,,,,,0,1487,23355,19799,18974,19377,267139,,,,,Midwest,,,
1471,1986_NEVADA,Nevada,1986,,,,,,,,,,0,,13202,12135,11740,11023,161239,,,,,West,,,
1478,1986_NEW_HAMPSHIRE,New Hampshire,1986,,,,,,,,,,0,,5812,11631,12405,11641,163717,,,,,Northeast,,,
1485,1986_NEW_JERSEY,New Jersey,1986,,,,,,,,,,0,6054,78251,75927,76245,81896,1107467,,,,,Northeast,,,
1492,1986_NEW_MEXICO,New Mexico,1986,,,,,,,,,,0,,23108,20628,19651,16794,281943,,,,,West,,,
1499,1986_NEW_YORK,New York,1986,,,,,,,,,,0,18783,181664,178888,174025,171545,2607719,,,,,Northeast,,,
1506,1986_NORTH_CAROLINA,North Carolina,1986,,,,,,,,,,0,778,81093,79686,85446,68939,1085248,,,,,South,,,
1513,1986_NORTH_DAKOTA,North Dakota,1986,,,,,,,,,,0,609,10126,9243,8739,8204,118703,,,,,Midwest,,,
1520,1986_OHIO,Ohio,1986,,,,,,,,,,0,,141923,128943,133448,132962,1793508,,,,,Midwest,,,
1527,1986_OKLAHOMA,Oklahoma,1986,,,,,,,,,,0,2495,52321,43781,42731,38606,593183,,,,,South,,,
1534,1986_OREGON,Oregon,1986,,,,,,,,,,0,1617,26878,34941,33088,32009,449307,,,,,West,,,
1541,1986_PENNSYLVANIA,Pennsylvania,1986,,,,,,,,,,0,,124171,112088,121509,126701,1674161,,,,,Northeast,,,
1548,1986_RHODE_ISLAND,Rhode Island,1986,,,,,,,,,,0,372,9834,9318,9865,9396,134690,,,,,Northeast,,,
1555,1986_SOUTH_CAROLINA,South Carolina,1986,,,,,,,,,,0,,41415,46874,48861,36064,611629,,,,,South,,,
1562,1986_SOUTH_DAKOTA,South Dakota,1986,,,,,,,,,,0,925,11124,9565,8518,8346,125458,,,,,Midwest,,,
1569,1986_TENNESSEE,Tennessee,1986,,,,,,,,,,0,992,61359,61142,62213,49945,818073,,,,,South,,,
1576,1986_TEXAS,Texas,1986,,,,,,,,,,0,62804,248628,245742,236791,187279,3209515,,,,,South,,,
1583,1986_UTAH,Utah,1986,,,,,,,,,,0,,37466,35182,28311,23782,415994,,,,,West,,,
1590,1986_VERMONT,Vermont,1986,,,,,,,,,,0,281,7196,6730,6783,6158,92112,,,,,Northeast,,,
1597,1986_VIRGINIA,Virginia,1986,,,,,,,,,,0,1462,75204,69422,73489,68104,975135,,,,,South,,,
1604,1986_WASHINGTON,Washington,1986,,,,,,,,,,0,1996,62897,56847,54187,56690,761428,,,,,West,,,
1611,1986_WEST_VIRGINIA,West Virginia,1986,,,,,,,,,,0,501,25821,26266,27392,22845,351837,,,,,South,,,
1618,1986_WISCONSIN,Wisconsin,1986,,,,,,,,,,0,10710,62635,52659,52335,61122,767819,,,,,Midwest,,,
1625,1986_WYOMING,Wyoming,1986,,,,,,,,,,0,,9075,7848,7247,6429,100955,,,,,West,,,
1276,1987_ALABAMA,Alabama,1987,,,,,,,,,,0,,54454,56671,56472,45742,729234,,,,,South,,,
1283,1987_ALASKA,Alaska,1987,,,,,,,,,,0,1191,9759,8273,7278,7160,106869,,,,,West,,,
1290,1987_ARIZONA,Arizona,1987,,,,,,,,,,0,,49182,44032,40269,36513,572421,,,,,West,,,
1297,1987_ARKANSAS,Arkansas,1987,,,,,,,,,,0,,33695,32468,33810,29499,437036,,,,,South,,,
1304,1987_CALIFORNIA,California,1987,,,,,,,,,,0,,392112,335078,311579,266028,4488398,,,,,West,,,
1311,1987_COLORADO,Colorado,1987,,,,,,,,,,0,2333,47065,41406,38541,39231,560236,,,,,West,,,
1318,1987_CONNECTICUT,Connecticut,1987,,,,,,,,,,0,3830,38426,32489,31729,34805,465465,,,,,Northeast,,,
1325,1987_DELAWARE,Delaware,1987,,,,,,,,,,0,281,7772,7027,6711,6867,95659,,,,,South,,,
1339,1987_FLORIDA,Florida,1987,,,,,,,,,,0,5939,145384,121543,128022,97109,1664774,,,,,South,,,
1346,1987_GEORGIA,Georgia,1987,,,,,,,,,,0,,92592,83226,80797,65703,1110947,,,,,South,,,
1353,1987_HAWAII,Hawaii,1987,,,,,,,,,,0,250,13888,12162,10865,10476,166160,,,,,West,,,
1360,1987_IDAHO,Idaho,1987,,,,,,,,,,0,,17354,16968,15503,13886,212444,,,,,West,,,
1367,1987_ILLINOIS,Illinois,1987,,,,,,,,,,0,24541,131000,128340,121278,123049,1811446,,,,,Midwest,,,
1374,1987_INDIANA,Indiana,1987,,,,,,,,,,0,801,71405,70400,70202,69831,964129,,,,,Midwest,,,
1381,1987_IOWA,Iowa,1987,,,,,,,,,,0,1068,39608,34301,31815,36965,480826,,,,,Midwest,,,
1388,1987_KANSAS,Kansas,1987,,,,,,,,,,0,641,36335,31108,29038,28792,421112,,,,,Midwest,,,
1395,1987_KENTUCKY,Kentucky,1987,,,,,,,,,,0,,49206,48446,44641,41586,642696,,,,,South,,,
1402,1987_LOUISIANA,Louisiana,1987,,,,,,,,,,0,1305,70222,62411,54841,42745,793093,,,,,South,,,
1409,1987_MAINE,Maine,1987,,,,,,,,,,0,1620,16988,15165,15204,15567,211817,,,,,Northeast,,,
1416,1987_MARYLAND,Maryland,1987,,,,,,,,,,0,10032,53146,49555,46717,48642,683797,,,,,South,,,
1423,1987_MASSACHUSETTS,Massachusetts,1987,,,,,,,,,,0,4783,67138,58163,59272,64221,825320,,,,,Northeast,,,
1430,1987_MICHIGAN,Michigan,1987,,,,,,,,,,0,4128,139622,110254,110862,111126,1589287,,,,,Midwest,,,
1437,1987_MINNESOTA,Minnesota,1987,,,,,,,,,,0,5693,62391,52761,49865,59565,721481,,,,,Midwest,,,
1444,1987_MISSISSIPPI,Mississippi,1987,,,,,,,,,,0,154,37766,39223,35503,30281,505550,,,,,South,,,
1451,1987_MISSOURI,Missouri,1987,,,,,,,,,,0,,62141,61263,58423,54936,802060,,,,,Midwest,,,
1458,1987_MONTANA,Montana,1987,,,,,,,,,,0,96,12720,11734,10588,10906,152207,,,,,West,,,
1465,1987_NEBRASKA,Nebraska,1987,,,,,,,,,,0,1478,23255,20057,19138,19747,268100,,,,,Midwest,,,
1472,1987_NEVADA,Nevada,1987,,,,,,,,,,0,,13859,12771,11906,11604,168353,,,,,West,,,
1479,1987_NEW_HAMPSHIRE,New Hampshire,1987,,,,,,,,,,0,,5991,12215,12584,12226,166045,,,,,Northeast,,,
1486,1987_NEW_JERSEY,New Jersey,1987,,,,,,,,,,0,6320,78991,76156,74848,82653,1092982,,,,,Northeast,,,
1493,1987_NEW_MEXICO,New Mexico,1987,,,,,,,,,,0,,23411,21293,19595,16946,287229,,,,,West,,,
1500,1987_NEW_YORK,New York,1987,,,,,,,,,,0,20821,183910,181309,171808,172904,2594070,,,,,Northeast,,,
1507,1987_NORTH_CAROLINA,North Carolina,1987,,,,,,,,,,0,833,84705,79536,83024,72339,1085976,,,,,South,,,
1514,1987_NORTH_DAKOTA,North Dakota,1987,,,,,,,,,,0,530,10193,9189,8470,8704,119004,,,,,Midwest,,,
1521,1987_OHIO,Ohio,1987,,,,,,,,,,0,,141049,130374,130062,137127,1793431,,,,,Midwest,,,
1528,1987_OKLAHOMA,Oklahoma,1987,,,,,,,,,,0,2382,48529,43254,41652,40552,584212,,,,,South,,,
1535,1987_OREGON,Oregon,1987,,,,,,,,,,0,1514,30699,35330,33160,33495,455895,,,,,West,,,
1542,1987_PENNSYLVANIA,Pennsylvania,1987,,,,,,,,,,0,,124471,114588,118544,130812,1668542,,,,,Northeast,,,
1549,1987_RHODE_ISLAND,Rhode Island,1987,,,,,,,,,,0,303,10103,9449,9543,9558,134800,,,,,Northeast,,,
1556,1987_SOUTH_CAROLINA,South Carolina,1987,,,,,,,,,,0,,41725,47256,47407,38596,614921,,,,,South,,,
