,State,Year,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region
0,Alabama,1992,2678885.0,2653798.0,25087,8224.0,731634.0,41167.0,208.0,252.0,207.0,,South
1,Alaska,1992,1049591.0,972488.0,77103,2371.0,122487.0,6714.0,,,,,West
2,Arizona,1992,3258079.0,3401580.0,-143501,2544.0,673477.0,37410.0,215.0,265.0,209.0,,West
3,Arkansas,1992,1711959.0,1743022.0,-31063,808.0,441490.0,27651.0,210.0,256.0,211.0,,South
4,California,1992,26260025.0,27138832.0,-878807,59067.0,5254844.0,270675.0,208.0,261.0,202.0,,West
5,Colorado,1992,3185173.0,3264826.0,-79653,7410.0,612635.0,34533.0,221.0,272.0,217.0,,West
6,Connecticut,1992,3834302.0,3721338.0,112964,5731.0,488476.0,28366.0,227.0,274.0,222.0,,Northeast
7,Delaware,1992,645233.0,638784.0,6449,463.0,104321.0,6129.0,218.0,263.0,213.0,,South
9,Florida,1992,11506299.0,11305642.0,200657,31464.0,1981407.0,100835.0,214.0,260.0,208.0,,South
10,Georgia,1992,5536901.0,5535942.0,959,3303.0,1207186.0,63646.0,216.0,259.0,212.0,,South
11,Hawaii,1992,996809.0,1040121.0,-43312,525.0,177448.0,9051.0,214.0,257.0,203.0,,West
12,Idaho,1992,859329.0,886161.0,-26832,1231.0,231668.0,14593.0,222.0,275.0,219.0,,West
13,Illinois,1992,9748650.0,9850560.0,-101910,39682.0,1873567.0,106475.0,,,,,Midwest
14,Indiana,1992,5060274.0,5182754.0,-122480,3225.0,960630.0,62234.0,221.0,270.0,221.0,,Midwest
15,Iowa,1992,2663934.0,2795774.0,-131840,4592.0,494839.0,33057.0,230.0,283.0,225.0,,Midwest
16,Kansas,1992,2245348.0,2234915.0,10433,2391.0,451536.0,26706.0,,,,,Midwest
17,Kentucky,1992,2642902.0,2518082.0,124820,14564.0,655041.0,38029.0,215.0,262.0,213.0,,South
18,Louisiana,1992,3341253.0,3362853.0,-21600,11439.0,797985.0,38368.0,204.0,250.0,204.0,,South
19,Maine,1992,1206819.0,1228869.0,-22050,1273.0,216453.0,13882.0,232.0,279.0,227.0,,Northeast
20,Maryland,1992,4658498.0,4698374.0,-39876,16081.0,751850.0,40426.0,217.0,265.0,211.0,,South
21,Massachusetts,1992,5517659.0,5245560.0,272099,10722.0,859948.0,52425.0,227.0,273.0,226.0,,Northeast
22,Michigan,1992,9963137.0,10170688.0,-207551,10541.0,1603610.0,90655.0,220.0,267.0,216.0,,Midwest
23,Minnesota,1992,4684684.0,4981125.0,-296441,6394.0,793724.0,53813.0,228.0,282.0,221.0,,Midwest
24,Mississippi,1992,1684706.0,1691990.0,-7284,818.0,506668.0,26328.0,202.0,246.0,199.0,,South
25,Missouri,1992,4043682.0,4197600.0,-153918,18948.0,859357.0,50534.0,222.0,271.0,220.0,,Midwest
26,Montana,1992,828983.0,781009.0,47974,554.0,160011.0,10019.0,,,,,West
27,Nebraska,1992,1542413.0,1534046.0,8367,3134.0,282414.0,18999.0,225.0,278.0,221.0,,Midwest
28,Nevada,1992,1097076.0,1251651.0,-154575,1038.0,222974.0,12242.0,,,,,West
29,New Hampshire,1992,1063391.0,1066647.0,-3256,1005.0,181247.0,10752.0,230.0,278.0,228.0,,Northeast
30,New Jersey,1992,10814689.0,10452340.0,362349,9123.0,1130560.0,67353.0,227.0,272.0,223.0,,Northeast
31,New Mexico,1992,1330091.0,1339829.0,-9738,2072.0,315668.0,16027.0,213.0,260.0,211.0,,West
32,New York,1992,21630179.0,22815611.0,-1185432,31290.0,2689686.0,142822.0,218.0,266.0,215.0,,Northeast
33,North Carolina,1992,5236099.0,5418687.0,-182588,6119.0,1114083.0,63427.0,213.0,258.0,212.0,,South
34,North Dakota,1992,559481.0,553732.0,5749,640.0,118734.0,8014.0,229.0,283.0,226.0,,Midwest
35,Ohio,1992,9285961.0,9483822.0,-197861,9900.0,1795199.0,116085.0,219.0,268.0,217.0,,Midwest
36,Oklahoma,1992,2396705.0,2515272.0,-118567,4859.0,597096.0,33346.0,220.0,268.0,220.0,,South
37,Oregon,1992,2773959.0,2898210.0,-124251,771.0,510122.0,31920.0,,,,,West
