Year,Total_Revenue,Total_Expenditure,Grades_All
1997,311173634,315175161,46049786
1998,331023835,335668054,46466696
1999,353923639,359735487,46779955
2000,378720797,385318602,47134614
2001,407362729,415988745,47596485
2002,425410810,441539761,48106920
2003,446553952,461169135,48462158
2004,469407650,486154555,48718751
2005,433558233,439344895,42599220
2006,528878518,535660946,49242992
2007,564628276,568514435,49212137
2008,590612171,603356759,49196891
2009,551795774,562389590,44441339
2010,546232140,553382069,46677942
2011,608272588,606303760,49447758
2012,603385741,603615840,49694978
2013,606767292,607095285,49966369
2014,627298807,623404918,50231623
2015,652287387,649539909,50242991
2016,591510295,589883738,44192871
